ElapsedSec,TPS,TPSAccept,TPSSuccess,RecvPerSec,SendPerSec,SendDropSec
Total Time : 60.016 	 TPS : 83.245 	 TPS_Accept : 82.378 	 TPS_Success : 82.378 	 RecvSec : 2054.795 	 SendSec : 1079110.922 	 SendDropSec : 7305634.117
Total Time : 8881.871 	 TPS : 44.430 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4124.900 	 SendSec : 321970.960 	 SendDropSec : 20300037.222
Total Time : 8941.883 	 TPS : 44.441 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4278.539 	 SendSec : 336353.360 	 SendDropSec : 21053720.222
Total Time : 9001.902 	 TPS : 44.770 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4127.255 	 SendSec : 316956.830 	 SendDropSec : 20316829.619
Total Time : 9061.914 	 TPS : 44.691 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4277.813 	 SendSec : 328116.359 	 SendDropSec : 21058288.023
Total Time : 9121.921 	 TPS : 44.895 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4126.120 	 SendSec : 308756.951 	 SendDropSec : 20319281.203
Total Time : 9181.934 	 TPS : 45.057 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4086.411 	 SendSec : 313243.507 	 SendDropSec : 20116339.698
Total Time : 9241.941 	 TPS : 44.928 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4051.045 	 SendSec : 305371.913 	 SendDropSec : 19947400.477
Total Time : 9301.961 	 TPS : 46.352 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3933.868 	 SendSec : 301145.738 	 SendDropSec : 19365920.386
Total Time : 9361.979 	 TPS : 44.070 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3963.434 	 SendSec : 304692.097 	 SendDropSec : 19510115.761
Total Time : 9421.991 	 TPS : 44.875 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4076.065 	 SendSec : 310573.196 	 SendDropSec : 20067277.200
Total Time : 9482.000 	 TPS : 44.943 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4052.273 	 SendSec : 305744.089 	 SendDropSec : 19953213.002
Total Time : 9542.014 	 TPS : 44.423 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4051.134 	 SendSec : 300163.050 	 SendDropSec : 19953004.862
Total Time : 9602.031 	 TPS : 45.904 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4116.078 	 SendSec : 308999.148 	 SendDropSec : 20268916.549
Total Time : 9662.041 	 TPS : 44.409 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4124.247 	 SendSec : 305889.711 	 SendDropSec : 20312784.942
Total Time : 9722.042 	 TPS : 43.749 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4160.971 	 SendSec : 314132.624 	 SendDropSec : 20488171.390
Total Time : 9782.046 	 TPS : 45.447 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3910.900 	 SendSec : 284251.368 	 SendDropSec : 19267876.414
Total Time : 9842.061 	 TPS : 45.155 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4041.709 	 SendSec : 301053.862 	 SendDropSec : 19905033.787
Total Time : 9902.067 	 TPS : 45.028 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4019.567 	 SendSec : 310971.529 	 SendDropSec : 19784466.428
Total Time : 9962.072 	 TPS : 45.530 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4155.227 	 SendSec : 314877.791 	 SendDropSec : 20458741.641
Total Time : 10022.081 	 TPS : 44.093 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3970.712 	 SendSec : 301333.562 	 SendDropSec : 19549841.584
Total Time : 10082.093 	 TPS : 46.341 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3802.860 	 SendSec : 294754.730 	 SendDropSec : 18717427.932
Total Time : 10142.112 	 TPS : 44.419 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4276.390 	 SendSec : 327697.249 	 SendDropSec : 21051596.532
Total Time : 10202.117 	 TPS : 44.363 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3972.197 	 SendSec : 303484.338 	 SendDropSec : 19555131.665
Total Time : 10262.124 	 TPS : 45.262 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3879.954 	 SendSec : 298556.360 	 SendDropSec : 19098983.689
Total Time : 10322.133 	 TPS : 44.476 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4301.982 	 SendSec : 323537.071 	 SendDropSec : 21183680.888
Total Time : 10382.143 	 TPS : 46.376 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3750.124 	 SendSec : 279466.491 	 SendDropSec : 18469033.841
Total Time : 10442.153 	 TPS : 44.293 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4124.724 	 SendSec : 299490.429 	 SendDropSec : 20321544.261
Total Time : 10502.160 	 TPS : 45.411 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4020.791 	 SendSec : 294731.228 	 SendDropSec : 19806780.001
Total Time : 10562.179 	 TPS : 45.536 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4221.233 	 SendSec : 318582.178 	 SendDropSec : 20784981.092
Total Time : 10622.197 	 TPS : 42.520 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4256.716 	 SendSec : 318376.383 	 SendDropSec : 20962473.404
Total Time : 10682.219 	 TPS : 45.900 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4027.425 	 SendSec : 304226.808 	 SendDropSec : 19830496.076
Total Time : 10742.227 	 TPS : 45.244 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3967.394 	 SendSec : 299606.632 	 SendDropSec : 19535003.653
Total Time : 10802.253 	 TPS : 44.347 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4093.276 	 SendSec : 313617.438 	 SendDropSec : 20150292.243
Total Time : 10862.274 	 TPS : 46.000 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.657 	 SendSec : 303807.941 	 SendDropSec : 20057034.689
Total Time : 10922.280 	 TPS : 43.979 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4061.095 	 SendSec : 307400.520 	 SendDropSec : 19995610.568
Total Time : 10982.291 	 TPS : 45.458 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3944.306 	 SendSec : 300456.178 	 SendDropSec : 19418767.247
Total Time : 11042.307 	 TPS : 45.238 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3988.694 	 SendSec : 310191.810 	 SendDropSec : 19630944.891
Total Time : 11102.339 	 TPS : 45.875 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4089.061 	 SendSec : 317359.448 	 SendDropSec : 20125527.170
Total Time : 11162.341 	 TPS : 44.332 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3874.834 	 SendSec : 298495.116 	 SendDropSec : 19073435.280
Total Time : 11222.346 	 TPS : 45.296 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4036.065 	 SendSec : 305472.559 	 SendDropSec : 19872454.535
Total Time : 11282.365 	 TPS : 44.886 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4027.691 	 SendSec : 304278.305 	 SendDropSec : 19831764.603
Total Time : 11342.373 	 TPS : 45.143 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3947.171 	 SendSec : 299494.618 	 SendDropSec : 19434018.653
Total Time : 11402.403 	 TPS : 45.844 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4096.379 	 SendSec : 315358.273 	 SendDropSec : 20164118.346
Total Time : 11462.413 	 TPS : 44.726 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4256.223 	 SendSec : 320212.712 	 SendDropSec : 20958263.482
Total Time : 11522.413 	 TPS : 44.933 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3953.030 	 SendSec : 305068.470 	 SendDropSec : 19457783.810
Total Time : 11582.431 	 TPS : 45.020 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4004.190 	 SendSec : 302599.462 	 SendDropSec : 19715990.153
Total Time : 11642.448 	 TPS : 44.338 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3974.767 	 SendSec : 296624.305 	 SendDropSec : 19574804.588
Total Time : 11702.458 	 TPS : 45.109 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4041.168 	 SendSec : 301044.040 	 SendDropSec : 19902376.938
Total Time : 11762.471 	 TPS : 44.440 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4220.866 	 SendSec : 315127.272 	 SendDropSec : 20786557.456
Total Time : 11822.490 	 TPS : 43.836 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4193.510 	 SendSec : 322368.333 	 SendDropSec : 20642603.172
Total Time : 11882.512 	 TPS : 44.967 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4016.274 	 SendSec : 301584.884 	 SendDropSec : 19777393.757
Total Time : 11942.529 	 TPS : 44.988 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4051.181 	 SendSec : 302983.659 	 SendDropSec : 19950478.419
Total Time : 12002.545 	 TPS : 45.171 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3973.346 	 SendSec : 299085.506 	 SendDropSec : 19565294.849
Total Time : 12062.552 	 TPS : 45.828 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3694.423 	 SendSec : 287442.162 	 SendDropSec : 18182652.863
Total Time : 12122.564 	 TPS : 44.774 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4052.818 	 SendSec : 309965.853 	 SendDropSec : 19951699.843
Total Time : 12182.580 	 TPS : 45.255 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3896.676 	 SendSec : 298005.363 	 SendDropSec : 19183115.647
Total Time : 12242.582 	 TPS : 44.432 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3849.228 	 SendSec : 290548.835 	 SendDropSec : 18953328.717
Total Time : 12302.597 	 TPS : 45.372 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3826.160 	 SendSec : 293912.108 	 SendDropSec : 18834719.230
Total Time : 12362.605 	 TPS : 45.110 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4037.610 	 SendSec : 305171.669 	 SendDropSec : 19880452.491
Total Time : 12422.619 	 TPS : 44.857 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3948.073 	 SendSec : 301358.688 	 SendDropSec : 19436695.332
Total Time : 12482.627 	 TPS : 44.744 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4007.678 	 SendSec : 298856.544 	 SendDropSec : 19737113.371
Total Time : 12542.644 	 TPS : 44.904 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4003.735 	 SendSec : 308211.437 	 SendDropSec : 19708092.438
Total Time : 12602.651 	 TPS : 45.978 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3740.352 	 SendSec : 282070.780 	 SendDropSec : 18417566.499
Total Time : 12662.663 	 TPS : 44.874 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3900.608 	 SendSec : 297157.076 	 SendDropSec : 19203596.568
Total Time : 12722.678 	 TPS : 46.055 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3920.593 	 SendSec : 295334.040 	 SendDropSec : 19305365.316
Total Time : 12782.692 	 TPS : 44.956 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4057.487 	 SendSec : 313682.047 	 SendDropSec : 19971345.185
Total Time : 12842.696 	 TPS : 44.947 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4220.593 	 SendSec : 319074.785 	 SendDropSec : 20781323.717
Total Time : 12902.707 	 TPS : 44.775 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4156.827 	 SendSec : 316571.186 	 SendDropSec : 20465048.326
Total Time : 12962.721 	 TPS : 44.790 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4102.087 	 SendSec : 311611.597 	 SendDropSec : 20196355.892
Total Time : 13022.732 	 TPS : 44.425 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4176.140 	 SendSec : 323035.045 	 SendDropSec : 20555147.491
Total Time : 13082.745 	 TPS : 44.074 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4360.705 	 SendSec : 339055.865 	 SendDropSec : 21461765.666
Total Time : 13142.749 	 TPS : 44.363 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3796.009 	 SendSec : 284182.164 	 SendDropSec : 18693681.166
Total Time : 13202.763 	 TPS : 45.106 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4027.814 	 SendSec : 297927.664 	 SendDropSec : 19838700.584
Total Time : 13262.771 	 TPS : 44.127 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4190.411 	 SendSec : 317462.332 	 SendDropSec : 20632026.699
Total Time : 13322.772 	 TPS : 45.266 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3783.393 	 SendSec : 294415.480 	 SendDropSec : 18620429.954
Total Time : 13382.781 	 TPS : 46.060 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3961.217 	 SendSec : 293190.196 	 SendDropSec : 19510545.791
Total Time : 13442.793 	 TPS : 44.758 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4200.349 	 SendSec : 320257.422 	 SendDropSec : 20678934.960
Total Time : 13502.794 	 TPS : 45.833 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3862.198 	 SendSec : 288811.937 	 SendDropSec : 19019932.170
Total Time : 13562.802 	 TPS : 45.160 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4060.276 	 SendSec : 303136.080 	 SendDropSec : 19995820.958
Total Time : 13622.804 	 TPS : 45.499 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3783.237 	 SendSec : 285769.244 	 SendDropSec : 18628239.975
Total Time : 13682.830 	 TPS : 45.147 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3862.655 	 SendSec : 298277.524 	 SendDropSec : 19012798.100
Total Time : 13742.832 	 TPS : 45.398 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4182.593 	 SendSec : 318304.438 	 SendDropSec : 20592167.234
Total Time : 13802.833 	 TPS : 45.383 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3826.127 	 SendSec : 290551.818 	 SendDropSec : 18837920.927
Total Time : 13862.839 	 TPS : 45.296 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3879.752 	 SendSec : 301234.035 	 SendDropSec : 19095318.338
Total Time : 13922.850 	 TPS : 44.975 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4075.956 	 SendSec : 311771.711 	 SendDropSec : 20065599.180
Total Time : 13982.864 	 TPS : 44.590 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4078.343 	 SendSec : 300219.878 	 SendDropSec : 20088999.352
Total Time : 14042.864 	 TPS : 44.216 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4007.135 	 SendSec : 299124.814 	 SendDropSec : 19734149.989
Total Time : 14102.879 	 TPS : 45.139 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3956.146 	 SendSec : 298132.981 	 SendDropSec : 19480262.261
Total Time : 14162.882 	 TPS : 45.281 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3976.806 	 SendSec : 306206.366 	 SendDropSec : 19575525.263
Total Time : 14222.890 	 TPS : 45.061 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3963.113 	 SendSec : 307220.928 	 SendDropSec : 19506073.990
Total Time : 14282.892 	 TPS : 44.715 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4119.568 	 SendSec : 309797.404 	 SendDropSec : 20285552.230
Total Time : 14342.896 	 TPS : 44.514 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3993.571 	 SendSec : 304371.313 	 SendDropSec : 19661144.318
Total Time : 14402.898 	 TPS : 45.315 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4012.986 	 SendSec : 306969.916 	 SendDropSec : 19755591.442
Total Time : 14462.904 	 TPS : 45.562 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3804.347 	 SendSec : 284369.415 	 SendDropSec : 18735187.849
Total Time : 14522.920 	 TPS : 46.204 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3916.910 	 SendSec : 297471.008 	 SendDropSec : 19284851.928
Total Time : 14582.930 	 TPS : 45.409 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3878.739 	 SendSec : 297747.526 	 SendDropSec : 19093739.498
Total Time : 14642.931 	 TPS : 44.733 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4056.345 	 SendSec : 312009.634 	 SendDropSec : 19967326.893
Total Time : 14702.946 	 TPS : 45.455 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3832.879 	 SendSec : 283681.398 	 SendDropSec : 18878499.732
Total Time : 14762.954 	 TPS : 45.610 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3884.331 	 SendSec : 299488.054 	 SendDropSec : 19119966.396
Total Time : 14822.974 	 TPS : 44.752 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4160.250 	 SendSec : 314607.932 	 SendDropSec : 20484115.899
Total Time : 14882.992 	 TPS : 45.170 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3884.171 	 SendSec : 299266.439 	 SendDropSec : 19119382.226
Total Time : 14943.010 	 TPS : 45.636 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4169.710 	 SendSec : 312011.763 	 SendDropSec : 20534020.024
Total Time : 15003.031 	 TPS : 44.068 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4028.662 	 SendSec : 308393.467 	 SendDropSec : 19832517.554
Total Time : 15063.033 	 TPS : 44.999 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4051.492 	 SendSec : 301482.224 	 SendDropSec : 19953552.996
Total Time : 15123.053 	 TPS : 45.968 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4012.377 	 SendSec : 303984.495 	 SendDropSec : 19755578.246
Total Time : 15183.055 	 TPS : 44.216 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3958.408 	 SendSec : 301064.929 	 SendDropSec : 19488626.093
Total Time : 15243.072 	 TPS : 46.037 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3968.101 	 SendSec : 306203.731 	 SendDropSec : 19532061.053
Total Time : 15303.077 	 TPS : 45.063 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4122.718 	 SendSec : 313003.590 	 SendDropSec : 20298114.160
Total Time : 15363.104 	 TPS : 45.097 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4067.337 	 SendSec : 308565.921 	 SendDropSec : 20025722.081
Total Time : 15423.133 	 TPS : 45.128 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4097.256 	 SendSec : 307730.911 	 SendDropSec : 20176085.793
Total Time : 15483.137 	 TPS : 44.830 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4098.605 	 SendSec : 312476.345 	 SendDropSec : 20178108.130
Total Time : 15543.144 	 TPS : 43.695 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4173.511 	 SendSec : 320675.553 	 SendDropSec : 20544358.041
Total Time : 15603.150 	 TPS : 44.045 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4494.390 	 SendSec : 337742.438 	 SendDropSec : 22131355.028
Total Time : 15663.158 	 TPS : 44.611 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3894.184 	 SendSec : 291003.612 	 SendDropSec : 19177646.801
Total Time : 15723.175 	 TPS : 45.937 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3998.501 	 SendSec : 299390.653 	 SendDropSec : 19690767.126
Total Time : 15783.176 	 TPS : 44.549 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4158.354 	 SendSec : 312750.504 	 SendDropSec : 20476495.431
Total Time : 15843.177 	 TPS : 44.916 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4067.567 	 SendSec : 305072.910 	 SendDropSec : 20030340.957
Total Time : 15903.202 	 TPS : 43.815 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4258.928 	 SendSec : 323573.846 	 SendDropSec : 20968418.404
Total Time : 15963.218 	 TPS : 44.404 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4251.811 	 SendSec : 321642.971 	 SendDropSec : 20934816.567
Total Time : 16023.232 	 TPS : 44.523 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4252.309 	 SendSec : 325295.813 	 SendDropSec : 20933663.158
Total Time : 16083.248 	 TPS : 44.388 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4172.879 	 SendSec : 315555.488 	 SendDropSec : 20546300.629
Total Time : 16143.265 	 TPS : 43.838 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4114.854 	 SendSec : 307076.564 	 SendDropSec : 20264678.917
Total Time : 16203.279 	 TPS : 46.072 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3821.255 	 SendSec : 291925.893 	 SendDropSec : 18812218.193
Total Time : 16263.291 	 TPS : 46.108 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3859.034 	 SendSec : 292579.895 	 SendDropSec : 19000428.845
Total Time : 16323.293 	 TPS : 45.482 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3853.172 	 SendSec : 291314.427 	 SendDropSec : 18972349.596
Total Time : 16383.309 	 TPS : 44.721 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4033.156 	 SendSec : 306757.343 	 SendDropSec : 19856645.242
Total Time : 16443.313 	 TPS : 45.797 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4008.062 	 SendSec : 311851.001 	 SendDropSec : 19726170.639
Total Time : 16503.314 	 TPS : 45.333 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3820.521 	 SendSec : 284032.730 	 SendDropSec : 18816366.966
Total Time : 16563.337 	 TPS : 45.200 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3999.060 	 SendSec : 297015.382 	 SendDropSec : 19695942.821
Total Time : 16623.343 	 TPS : 45.729 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4146.874 	 SendSec : 315193.560 	 SendDropSec : 20416715.233
Total Time : 16683.362 	 TPS : 44.869 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4037.156 	 SendSec : 303174.986 	 SendDropSec : 19880221.278
Total Time : 16743.367 	 TPS : 45.213 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3929.648 	 SendSec : 296013.156 	 SendDropSec : 19349945.796
Total Time : 16803.392 	 TPS : 44.915 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3813.709 	 SendSec : 289816.501 	 SendDropSec : 18776550.166
Total Time : 16863.414 	 TPS : 44.100 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3920.368 	 SendSec : 292167.433 	 SendDropSec : 19307351.898
Total Time : 16923.426 	 TPS : 45.108 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3827.241 	 SendSec : 291241.545 	 SendDropSec : 18842797.462
Total Time : 16983.430 	 TPS : 45.164 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3894.964 	 SendSec : 288768.893 	 SendDropSec : 19183801.053
Total Time : 17043.437 	 TPS : 45.045 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4073.718 	 SendSec : 306093.854 	 SendDropSec : 20060069.377
Total Time : 17103.450 	 TPS : 44.874 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4294.023 	 SendSec : 330396.248 	 SendDropSec : 21137134.700
Total Time : 17163.464 	 TPS : 45.506 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3968.468 	 SendSec : 300123.182 	 SendDropSec : 19539941.220
Total Time : 17223.484 	 TPS : 44.352 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3945.091 	 SendSec : 305527.684 	 SendDropSec : 19417651.629
Total Time : 17283.491 	 TPS : 44.695 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3992.460 	 SendSec : 305577.055 	 SendDropSec : 19654373.575
Total Time : 17343.499 	 TPS : 44.460 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4221.137 	 SendSec : 311718.450 	 SendDropSec : 20791361.522
Total Time : 17403.504 	 TPS : 44.313 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3966.772 	 SendSec : 307321.674 	 SendDropSec : 19524261.079
Total Time : 17463.508 	 TPS : 44.897 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4031.973 	 SendSec : 301376.874 	 SendDropSec : 19856094.745
Total Time : 17523.528 	 TPS : 46.334 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3989.584 	 SendSec : 306232.335 	 SendDropSec : 19639436.250
Total Time : 17583.547 	 TPS : 44.353 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4209.353 	 SendSec : 312219.398 	 SendDropSec : 20731962.031
Total Time : 17643.560 	 TPS : 44.707 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4252.961 	 SendSec : 312412.755 	 SendDropSec : 20949748.636
